No,NodeName,Mount Name,Connection Status,Host,Set
1,305559620A,305559620A,connected,Ericsson,Set
2,305559620B,305559620B,connected,Ericsson,Set
3,417253802,417253802,connected,Huawei,Set
4,418252371,418252371,connected,SIAE,Set
5,121254642,134251254,connected,Ericsson,Set
6,104253704,134251255,connected,Huawei,Set
7,104253705,325252080,connected,Huawei,Set
8,101555445B,121253417,connected,Ericsson,Set
9,417253801,121253418,connected,Huawei,Set
10,104253831,529252935,connected,Huawei,Set
11,101558099A,529252934,connected,Ericsson,Set
12,101555445A,417259693,connected,Ericsson,Set
13,104253832,417259694,connected,Huawei,Set
14,437252288,222252643,connected,Huawei,Set
15,437252287,212252449,connected,Huawei,Set
16,134251254,134251254,connected,SIAE,Set
17,222251658,427254191,connected,Huawei,Set
18,101558099B,427254190,connected,Ericsson,Set
19,134251255,134251255,connected,SIAE,Set
20,223254456,,connected,Huawei,not set
21,104559123B,407252868,connected,Ericsson,Set
22,104559123A,325252165,connected,Ericsson,Set
23,417252844,325252164,connected,Huawei,Set
24,417252843,417251834,connected,Huawei,Set
25,325252080,325252080,connected,SIAE,Set
26,530252836,437252258,connected,Huawei,Set
27,530252835,418253769,connected,Huawei,Set
28,222252855,427253287,connected,Ericsson,Set
29,121253417,121253417,connected,SIAE,Set
30,121253418,121253418,connected,SIAE,Set
31,529252935,529252935,connected,SIAE,Set
32,529252934,529252934,connected,SIAE,Set
33,417259693,417259693,connected,SIAE,Set
34,417259694,417259694,connected,SIAE,Set
35,222252643,222252643,connected,SIAE,Set
36,212252449,212252449,connected,SIAE,Set
37,528251292,437252276,connected,Huawei,Set
38,528251293,121251774,connected,Huawei,Set
39,529252808,,connected,Huawei,not set
40,114550890A,223251463,connected,Ericsson,Set
41,529252807,,connected,Huawei,not set
42,114550890B,212252190,connected,Ericsson,Set
43,529252809,222254751,connected,Huawei,Set
44,529252806,222254750,connected,Huawei,Set
45,222253605,222254755,connected,Ericsson,Set
46,212551854B,121251519,connected,Ericsson,Set
47,437254372,437254372,connected,SIAE,Set
